title,stars,name,text,neighborhood,location,categoryName,city,publishAt,isLocalGuide,sentiment,sentiment_score,time_period
Nisa Premier Hospital,5,Oluwaseun Timothy,Nisa Premier Hospital's brand is indeed a leading brand in terms of healthcare delivery in Africa. The hospital environment is very conducive and the hospital staff are very professional. I must really commend the management of the hospital for the state of the art facilities that has been made available at the hospital. I always believe i have received value for my money each time i access care in the hospital.,Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,7 hours ago,,POSITIVE,0.9994438290596008,Less than a year ago
Nisa Premier Hospital,5,Taiwo Astro,Excellent healthcare,Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,3 days ago,,POSITIVE,0.999840497970581,Less than a year ago
Nisa Premier Hospital,1,Emmanuel Isaac,"They refused to make payments easy for customers by getting better banks to process transfers
They’ll keep you waiting for at least 2 hours if you make a transfer
This is a constant occurrence with them",Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,a week ago,,NEGATIVE,0.9971621632575989,Less than a year ago
Nisa Premier Hospital,1,Idy Zubair,"I tried Nisa premier services a couple of times, each time with negative experiences. The last time I met a doctor who couldn't analyze very simple blood test. That was when I decided to stop going there.",Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,2 weeks ago,,NEGATIVE,0.9993529915809631,Less than a year ago
Nisa Premier Hospital,1,Iyo Obie,"My experience today, Sat 18th Jan 2025, left a very sour taste in my mouth. I came with my child to see a pediatrician cos he was running fever. On getting to the hospital, I was asked to make a payment at the pay-point, to see the doctor, so I made a transfer because I wasn't with my card.

After over 1:30hr of waiting for confirmation of my payment, I was told the person or persons at the accounts don't work on weekends so they aren't picking their calls.

Why run a 24hr hospital service if you can't do the most common thing of confirming payments? Why not provide alternative ways of confirming payments since the people who are to do that don't work on weekends?

After over 1:30hrs, I was able to see the doctor, she recommended some tests and I took my son  to the lab. Again, I needed to make payment for the test. After taking samples, I had to wait extra 35 minutes before they could process the samples because the payment needed to reflect on his card and the guy at the pay point was waiting for the people at the accounts that don't work on weekends to confirm payment.

The level of incompetence at the pediatric clinic is alarming! I am not coming back here!",Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,a month ago,,NEGATIVE,0.999459445476532,Less than a year ago
Nisa Premier Hospital,1,Hotelpanda,"After spending money and time on uber from guzape to the clinic and I was told the gynecologist Is not available today that I should come back the next day because I'm in badge A or B, even a public hospital wouldn't send me back then talk of a private hospital, well I'm changing hospital asap. The quality of the services dropped and then the prices increased for no reason.",Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,2 months ago,,NEGATIVE,0.9994422793388367,Less than a year ago
Nisa Premier Hospital,1,Zainab Shuaib,"The wait time is absolutely ridiculous,been sitting here for almost an hour waiting a for a scan.
They keep saying no room available but I am currently looking at an empty room with the ""sonographers"" socializing in the  corridors.
Might as well go to a government hospital.
Everything about my experience today was bad.",Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,3 months ago,,NEGATIVE,0.9997647404670715,Less than a year ago
Nisa Premier Hospital,1,Chinenye Odenigbo,"My experience at Nisa has been very disappointing after giving several benefit of doubt. It seems it’s riding on old glory. From long waiting lines to no network, to some nurses having zero bedside manner. If you want to do a scan just prepare to wait for at least 1 hour then Pray to God that there is network to upload your results if not you can’t get your results and medication.

Every time I come for a simple doctor’s visit I spend the whole day there! No sense of urgency! Would not recommend.",Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,3 months ago,,NEGATIVE,0.999502420425415,Less than a year ago
Nisa Premier Hospital,5,peace chimezie,Excellent Service Delivery,Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,3 months ago,,POSITIVE,0.9998562335968018,Less than a year ago
Nisa Premier Hospital,5,Godwin Agidiomo,"The experience I had at Nisa Premier Hospital was exceptional. The personnel was incredibly attentive, kind, and professional during my stay. The reception staff was friendly and helpful from the moment I arrived. In addition to listening to my worries, the physicians and nurses gave me thorough explanations of my problem and available treatments.

I felt at ease and secure in the kind of treatment I received because of the hospital's contemporary, hygienic, and well-maintained facilities. Additionally, I valued the prompt emergency department response times and the comprehensive aftercare offered.

Overall, the level of professionalism, knowledge, and patient care provided by Nisa Premier Hospital was beyond my expectations. To anyone looking for top-notch medical care, I would heartily recommend this institution.",Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,4 months ago,,POSITIVE,0.9996659755706787,Less than a year ago
Nisa Premier Hospital,5,Olaleye Nifemi,Pleasant costumer care ,Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,4 months ago,,POSITIVE,0.9998722076416016,Less than a year ago
Nisa Premier Hospital,5,Afebuameh Ogbesor,Nisa Premier Hospital offers top-notch medical care with a highly professional and compassionate team. Their modern facilities and patient-focused approach ensure a comfortable and efficient healthcare experience.,Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,4 months ago,,POSITIVE,0.9998156428337097,Less than a year ago
Nisa Premier Hospital,5,blessing ebute,Nisa Hospital provides great services,Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,4 months ago,,POSITIVE,0.9997208714485168,Less than a year ago
Nisa Premier Hospital,5,Pannan Gukas,"Though never had the opportunity to benefit from your varieties of medical facilities, your council unit was the best treatment ever.
There Professional advises heal my wounds.",Jabi,"{'lat': 9.0676555, 'lng': 7.4115661}",Hospital,Abuja,4 months ago,,POSITIVE,0.9992092847824097,Less than a year ago
